Payment_Behavior_!@9#%8,Payment_Behavior_High_spent_Large_value_payments,Payment_Behavior_High_spent_Medium_value_payments,Payment_Behavior_High_spent_Small_value_payments,Payment_Behavior_Low_spent_Large_value_payments,Payment_Behavior_Low_spent_Medium_value_payments,Payment_Behavior_Low_spent_Small_value_payments,Credit_Mix_Bad,Credit_Mix_Good,Credit_Mix_Standard,Credit_Mix__,and auto loan,and credit-builder loan,and debt consolidation loan,and home equity loan,and mortgage loan,and not specified,and payday loan,and personal loan,and student loan,auto loan,credit-builder loan,debt consolidation loan,home equity loan,mortgage loan,not specified,payday loan,personal loan,student loan,Payment_of_Min_Amount_NM,Payment_of_Min_Amount_No,Payment_of_Min_Amount_Yes,Occupation_Accountant,Occupation_Architect,Occupation_Developer,Occupation_Doctor,Occupation_Engineer,Occupation_Entrepreneur,Occupation_Journalist,Occupation_Lawyer,Occupation_Manager,Occupation_Mechanic,Occupation_Media_Manager,Occupation_Musician,Occupation_Scientist,Occupation_Teacher,Occupation_Writer,Occupation________,Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Credit_Score
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,46.0,35707.45,3124.620833333333,8,4,5,3.0,8,8.0,-3.14,4.0,933.97,34.21669696146049,19.11904761904762,75.50815553778726,75.29074381394074,353.8413817742832,0
0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28.0,15349.54,1180.128333333333,9,7,22,9.0,40,22.0,27.08,12.0,2988.2,32.07219118472075,19.11904761904762,108.46101550745072,24.76282984595756,234.78898797992505,2
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23.0,7123.915,756.6595833333333,4,6,19,4.0,5,11.0,10.239999999999998,8.0,1380.44,24.89680333352584,19.11904761904762,19.53036923390373,33.03667068365494,313.0989184157747,2
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.0,37777.92,3055.16,3,4,20,-100.0,30,18.0,18.37,9.0,1336.0,34.768714624437386,19.11904761904762,100.42794975590311,173.10131391288647,291.98673633121035,1
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.0,54889.92,4512.16,7,4,17,6.0,24,10.0,10.48,4.0,1603.48,29.799461812974503,19.11904761904762,147.0473710559911,109.4857312696082,434.6828976744007,1
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,45.0,50733.18000000001,4402.765,9,8,34,3.0,29,15.0,12.74,12.0,2130.22,35.73882452479224,19.11904761904762,74.86666604081532,315.16841459872927,330.24141936045544,1
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45.0,28942.3,2216.858333333333,8,3,13,2.0,16,17.0,-1.92,3.0,690.71,33.97289536457576,19.11904761904762,41.83777444592569,183.12551358240145,266.72254530500624,2
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0,28338.43,2171.535833333333,6,3,5743,1.0,13,15.0,17.1,5.0,135.5,27.67691356773716,19.11904761904762,12.805281246658785,84.42972746611024,379.9185746205644,2
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42.0,143829.16,12087.763333333334,7,7,18,4.0,22,11.0,6.98,8.0,106.92,22.792364450392927,19.11904761904762,372.7950058240231,740.8941423204902,355.08718518882006,2
0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,122425.8,10001.15,4,4,6,2.0,29,16.0,15.19,2.0,1252.3,31.124327124488406,19.11904761904762,148.18817898295953,118.99501754077706,972.9318034762634,2
